Date,Block,Demand
01-09-2022,56,11306
01-09-2022,57,11359
01-09-2022,58,11342
01-09-2022,59,11335
01-09-2022,60,11428
01-09-2022,61,11250
01-09-2022,62,11225
01-09-2022,63,11179
01-09-2022,64,11191
01-09-2022,65,10934
01-09-2022,66,10297
01-09-2022,67,10918
01-09-2022,68,10703
01-09-2022,69,10074
01-09-2022,70,9295
01-09-2022,71,8455
01-09-2022,72,8082
01-09-2022,73,7666
01-09-2022,74,7507
01-09-2022,75,7497
01-09-2022,76,7273.75
01-09-2022,77,7793
01-09-2022,78,7727
01-09-2022,79,7677
01-09-2022,80,7574
01-09-2022,81,7474
01-09-2022,82,7398
01-09-2022,83,7298
01-09-2022,84,7293
01-09-2022,85,7287
01-09-2022,86,7208
01-09-2022,87,7205
01-09-2022,88,7169
01-09-2022,89,7094
01-09-2022,90,7042
01-09-2022,91,6938
01-09-2022,92,6871
01-09-2022,93,6884
01-09-2022,94,6878
01-09-2022,95,6757
